מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
חד פעמי,7.29011E+12,3 מגשי דקל מלבני 25/32,אלי אקסטרה ,01/09/2025,4.25,8,6,,,25.5,48
חד פעמי,7.29011E+12,"3 מגשים עגולים 12"" 30 ס""מ דקל",אלי אקסטרה ,24/12/2025,3.42,10,8,,,27.36,80
מוצרי נקיון,7.29002E+12,3 סקוצים עבים,"פעמית תבניכל שיווק בע""מ ",24/12/2025,4.72,10,21,0,0,99.12,210
הגיינה,7.29002E+12,4 מברשות שיניים לצחצוח בינוני,נאמן לאורך זמן ,01/09/2025,6.91,10,46,,,317.86,460
הגיינה,7.29002E+12,4 מברשות שיניים לצחצוח רך,נאמן לאורך זמן ,03/12/2025,6.91,10,42,,,290.22,420
לבית,7.29002E+12,"4 נרות אורך 26 ס""מ תחרה זהב","אליס אריזות מתנה בע""מ ",03/12/2025,16.99,30,11,0,0,186.89,330
אפיה ומטבח,7.29011E+12,4 תבניות נייר מלבניות,"החברה הדרומית לשיווק בע""מ ",06/01/2026,7.67,12,17,,,130.39,204
אפיה ומטבח,7.29011E+12,4 תבנית נייר עגולה,"החברה הדרומית לשיווק בע""מ ",06/01/2026,5.66,10,10,,,56.6,100
חד פעמי,7.29011E+12,5 כוסות פסים פס זהב,אלי אקסטרה ,01/12/2025,8.85,15,17,,,150.45,255
חד פעמי,7.29011E+12,5 כוסות פסים פס כסף,אלי אקסטרה ,06/01/2026,8.85,15,20,,,177,300
מוצרי נקיון,7.29002E+12,5 מטליות מיקרופייבר למשטחים SWIFT,"מ.א ייצור ויבוא מטליות בע""מ",13/01/2026,4.19,8,26,,,108.94,208
חד פעמי,7.29011E+12,5 קערות עגולות לסלט פלוורס,אלי אקסטרה ,13/01/2026,6.37,12,12,,,76.44,144
לבית,7.29062E+12,"50 יח' מקלות מגנום 9.4 ס""מ (ארוז 12)",דולפין יבוא ושיווק ,04/09/2025,3.84,7,6,,,23.04,42
לבית,7.29062E+12,"50 יח' מקלות מגנום קטן 7.5 ס""מ (ארוז 12)",דולפין יבוא ושיווק ,01/09/2025,2.95,6,6,,,17.7,36
חד פעמי,7.29011E+12,"50 כוסות צבעוניות 200 מ""ל",אלי אקסטרה ,10/09/2025,4.13,7,243,,,1003.59,1701
חד פעמי,77343002220,50 כוסות שתיה חמה 8BOZ,מנורה ,01/09/2025,2.18,4,277,0,0,603.86,1108
לבית,7.29E+12,50 נרות חימום 8 שעות מנורה,מנורה ,02/09/2025,14.75,22,46,,,678.5,1012
חד פעמי,7.29011E+12,6 סלטיות אובליות פלוורס,אלי אקסטרה ,01/09/2025,4.96,10,7,0,0,34.72,70
חד פעמי,7.29012E+12,6 קערות קראפט  מכסה 1000CC,"פעמית תבניכל שיווק בע""מ ",17/11/2025,5.78,12,1,,,5.78,12
חד פעמי,7.29012E+12,6oz1-‏29-  גביע כסף קידוש *10 יח' כ,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/12/2025,5.78,10,8,,,46.24,80
אפיה ומטבח,7.29011E+12,7 שקיות בד לבישול,"החברה הדרומית לשיווק בע""מ ",22/01/2026,9.56,13,15,,,143.4,195
מוצרי נקיון,7.29001E+12,80 צמרוני עץ SHINY,"מ.א ייצור ויבוא מטליות בע""מ",01/09/2025,0.59,2,231,,,136.29,462
מוצרי נקיון,7.29011E+12,99.9% תוסף לחיטוי כביסה,"החברה הדרומית לשיווק בע""מ ",01/09/2025,24.19,36,4,,,96.76,144
רכב,7.66041E+11,BG מסיר פיח K44  חסכן דלק,"פטרוטק בע""מ",01/09/2025,59,85,23,0,0,1357,1955
רכב,7.66041E+11,BG תכשיר לניקוי פיח קשיח מנועי דיזל,"פטרוטק בע""מ",05/02/2026,59,85,24,0,0,1416,2040
אפיה ומטבח,8.6802E+12,EUROPEAN שמרים יבשים ווקום 450גר',נאמן לאורך זמן ,05/02/2026,9.64,15,16,0,0,154.24,240
מוצרי נקיון,7.29E+12,JAVEL 4 ליטר לבנדר,"החברה הדרומית לשיווק בע""מ ",22/01/2026,12.98,20,6,,,77.88,120
מוצרי נקיון,7.29011E+12,JAVEL 4 ליטר פריחה,"החברה הדרומית לשיווק בע""מ ",01/09/2025,12.98,20,6,,,77.88,120
הגיינה,7.29011E+12,"ORBITOL מי פה שוקינג פרש 500מ""ל","החברה הדרומית לשיווק בע""מ ",01/09/2025,12.04,22,12,,,144.48,264
חד פעמי,7.29011E+12,א- גביע יין - רגל קרם * 6 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,7.33,12,2,,,14.66,24
חד פעמי,7.29011E+12,א- לייט וינטג' צלחת בינונית לבנה * 10,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.64,12,8,,,53.12,96
חד פעמי,7.29011E+12,א- לייט וינטג' צלחת גדולה לבנה * 10,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,7.88,13,23,,,181.24,299
חד פעמי,7.29011E+12,א- לייט וינטג' צלחת קטנה לבנה * 10,"נ.ש.מ יבוא שיווק והפצה בע""מ ",29/12/2025,4.51,8,10,,,45.1,80
חד פעמי,7.29012E+12,א-מגש + פס זהב 29.5*40.5-גובה 2.3,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.96,8,16,,,111.36,128
חד פעמי,7.29001E+12,אבני פלא גדולות,"המרשלג  פרלינס בע""מ ",18/01/2026,15.05,25,4,,,60.2,100
אפיה ומטבח,7.29E+12,אבקת אפיה 10 יחי' השף אלפרדו,נאמן לאורך זמן ,05/01/2026,2.01,3,30,0,0,60.3,90
אפיה ומטבח,6.93493E+11,אבקת חלב 200 גר',שף קונדיטור,05/01/2026,18.88,34,6,,,113.28,204
אפיה ומטבח,6.93493E+11,אבקת כוכבים אבן אודם,"מנדלברג בע""מ",05/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,6.93493E+11,אבקת כוכבים אבן טורקיז,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,6.93493E+11,אבקת כוכבים אבן תכלת,"מנדלברג בע""מ",05/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים אדום ענבר,"מנדלברג בע""מ",05/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים ברונזה,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים ורוד ספיר,"מנדלברג בע""מ",06/01/2026,15.46,26,4,,,61.84,104
אפיה ומטבח,7.29002E+12,אבקת כוכבים זהב ספארקל,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,6.93493E+11,אבקת כוכבים זהב קיסר,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים ירוק אמרלד,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים כחול אטלנטי,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים כסף ספארקל,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
אפיה ומטבח,7.29002E+12,אבקת כוכבים נחושת,"מנדלברג בע""מ",06/01/2026,15.46,26,5,,,77.3,130
