name,image,price,category
'ב- קסרול וינטג' קרם * 6 יח,7290115956979.jpg,8,hadpaami
'ג- לייט וינטג' צלחת גדולה זהב * 10 יח,7290118632047.jpg,13,hadpaami
'ג- קסרול וינטג' זהב * 6 יח,7290110280512.jpg,7,hadpaami
'ד- מנטה וינטג' מזלג לייט *10 יח,7290115951325.jpg,4,hadpaami
'ד- מנטה וינטג' סכין לייט*10 יח,7290115951332.jpg,4,hadpaami
'ה- מגש וינטג' אובלי גדול שקוף * 3 יח,7290110281090.jpg,10,hadpaami
'ה- מגש וינטג' אובלי עמוק  שקוף * 3 יח,7290110281106.jpg,8,hadpaami
'ה- קסרול וינטג' שקוף * 6 יח,7290110281083.jpg,7,hadpaami
'ה- שקוף לפתניה וינטג'*10 יח,7290110281519.jpg,7,hadpaami
'ו- לבן וינטג' כף לייט *10 יח,7290115951387.jpg,4,hadpaami
'ו- לבן וינטג' כפית לייט*10 יח,7290115951394.jpg,4,hadpaami
'ו- לבן וינטג' מזלג לייט *10 יח,7290115951363.jpg,4,hadpaami
'ז- לפתניה וינטג' מנטה *10 יח,7290110281793.jpg,7,hadpaami
'ז- מגש וינטג' אובלי עמוק מנטה * 3 יח,7290110281885.jpg,8,hadpaami
'ז- מרקיה וינטג' מנטה *10יח,7290110281595.jpg,10,hadpaami
'ז- קסרול וינטג' מנטה *  6 יח,7290110281861.jpg,7,hadpaami
'ח- לייט וינטג' צלחת קטנה ורוד* 10 יח,7290110288037.jpg,8,hadpaami
'ח- לפתניה וינטג' ורוד *10 יח,7290110281502.jpg,7,hadpaami
'ט- קרם וינטג' כף לייט *10 יח,7290115951264.jpg,4,hadpaami
'ט- קרם וינטג' כפית לייט*10 יח,7290115951271.jpg,4,hadpaami
'ט- קרם וינטג' מזלג לייט *10 יח,7290115951240.jpg,4,hadpaami
'ט- קרם וינטג' סכין לייט*10 יח,7290115951257.jpg,4,hadpaami
'יא- וינטג' מרקיה נצנצים כסף*10 יח,7290003586530.jpg,10,hadpaami
'כ- נצנצים כסף וינטג' מזלג *10 יח,7290110286026.jpg,4,hadpaami
'כ- נצנצים כסף וינטג' סכין *10 יח,7290110286040.jpg,4,hadpaami
